카메라 번호,주소,상세 설명,측정 시작 시간,측정 종료 시간,카메라 통과 인원 (IN),카메라 통과 인원 (OUT),데이터입력시간
2,계동길 69,계동교회 앞,2020-03-01 0:00,2020-03-01 0:10,4,0,2020-03-01 0:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:00,2020-03-01 0:10,9,0,2020-03-01 0:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:00,2020-03-01 0:10,7,0,2020-03-01 0:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:00,2020-03-01 0:10,0,6,2020-03-01 0:10
2,계동길 69,계동교회 앞,2020-03-01 0:10,2020-03-01 0:20,9,10,2020-03-01 0:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:10,2020-03-01 0:20,12,0,2020-03-01 0:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:10,2020-03-01 0:20,7,0,2020-03-01 0:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:10,2020-03-01 0:20,0,9,2020-03-01 0:20
2,계동길 69,계동교회 앞,2020-03-01 0:20,2020-03-01 0:30,11,14,2020-03-01 0:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:20,2020-03-01 0:30,30,10,2020-03-01 0:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:20,2020-03-01 0:30,12,0,2020-03-01 0:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:20,2020-03-01 0:30,1,17,2020-03-01 0:30
2,계동길 69,계동교회 앞,2020-03-01 0:30,2020-03-01 0:40,14,15,2020-03-01 0:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:30,2020-03-01 0:40,30,10,2020-03-01 0:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:30,2020-03-01 0:40,14,7,2020-03-01 0:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:30,2020-03-01 0:40,1,20,2020-03-01 0:40
2,계동길 69,계동교회 앞,2020-03-01 0:40,2020-03-01 0:50,21,23,2020-03-01 0:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:40,2020-03-01 0:50,33,12,2020-03-01 0:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:40,2020-03-01 0:50,20,14,2020-03-01 0:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:40,2020-03-01 0:50,1,20,2020-03-01 0:50
2,계동길 69,계동교회 앞,2020-03-01 0:50,2020-03-01 1:00,23,23,2020-03-01 1:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 0:50,2020-03-01 1:00,48,18,2020-03-01 1:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 0:50,2020-03-01 1:00,22,16,2020-03-01 1:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 0:50,2020-03-01 1:00,1,22,2020-03-01 1:00
2,계동길 69,계동교회 앞,2020-03-01 1:00,2020-03-01 1:10,31,29,2020-03-01 1:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:00,2020-03-01 1:10,48,21,2020-03-01 1:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:00,2020-03-01 1:10,27,21,2020-03-01 1:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:00,2020-03-01 1:10,5,24,2020-03-01 1:10
2,계동길 69,계동교회 앞,2020-03-01 1:10,2020-03-01 1:20,34,29,2020-03-01 1:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:10,2020-03-01 1:20,48,21,2020-03-01 1:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:10,2020-03-01 1:20,27,21,2020-03-01 1:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:10,2020-03-01 1:20,5,25,2020-03-01 1:20
2,계동길 69,계동교회 앞,2020-03-01 1:20,2020-03-01 1:30,36,29,2020-03-01 1:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:20,2020-03-01 1:30,48,23,2020-03-01 1:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:20,2020-03-01 1:30,29,21,2020-03-01 1:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:20,2020-03-01 1:30,10,27,2020-03-01 1:30
2,계동길 69,계동교회 앞,2020-03-01 1:30,2020-03-01 1:40,36,29,2020-03-01 1:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:30,2020-03-01 1:40,55,24,2020-03-01 1:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:30,2020-03-01 1:40,29,21,2020-03-01 1:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:30,2020-03-01 1:40,10,27,2020-03-01 1:40
2,계동길 69,계동교회 앞,2020-03-01 1:40,2020-03-01 1:50,37,29,2020-03-01 1:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:40,2020-03-01 1:50,55,24,2020-03-01 1:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:40,2020-03-01 1:50,29,21,2020-03-01 1:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:40,2020-03-01 1:50,16,29,2020-03-01 1:50
2,계동길 69,계동교회 앞,2020-03-01 1:50,2020-03-01 2:00,38,29,2020-03-01 2:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 1:50,2020-03-01 2:00,55,24,2020-03-01 2:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 1:50,2020-03-01 2:00,29,23,2020-03-01 2:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:50,2020-03-01 2:00,16,29,2020-03-01 2:00
2,계동길 69,계동교회 앞,2020-03-01 2:00,2020-03-01 2:10,39,34,2020-03-01 2:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:00,2020-03-01 2:10,55,24,2020-03-01 2:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:00,2020-03-01 2:10,29,23,2020-03-01 2:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:00,2020-03-01 2:10,16,32,2020-03-01 2:10
2,계동길 69,계동교회 앞,2020-03-01 2:10,2020-03-01 2:20,39,34,2020-03-01 2:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:10,2020-03-01 2:20,55,24,2020-03-01 2:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:10,2020-03-01 2:20,29,23,2020-03-01 2:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:10,2020-03-01 2:20,16,32,2020-03-01 2:20
2,계동길 69,계동교회 앞,2020-03-01 2:20,2020-03-01 2:30,41,35,2020-03-01 2:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:20,2020-03-01 2:30,55,24,2020-03-01 2:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:20,2020-03-01 2:30,29,23,2020-03-01 2:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:20,2020-03-01 2:30,16,32,2020-03-01 2:30
2,계동길 69,계동교회 앞,2020-03-01 2:30,2020-03-01 2:40,42,35,2020-03-01 2:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:30,2020-03-01 2:40,55,24,2020-03-01 2:40
