BASE_YEAR,BASE_MONTH,GU_DC,AGE_DC,MV_CNT
2019,1,강서구,10대,1021
2019,1,강서구,20대,2540
2019,1,강서구,30대,6220
2019,1,강서구,40대,5530
2019,1,강서구,50대,4689
2019,1,강서구,60대,3064
2019,1,강서구,70대,1053
2019,1,금정구,10대,782
2019,1,금정구,20대,2271
2019,1,금정구,30대,2034
2019,1,금정구,40대,2271
2019,1,금정구,50대,2662
2019,1,금정구,60대,2279
2019,1,금정구,70대,1242
2019,1,기장군,10대,2605
2019,1,기장군,20대,3562
2019,1,기장군,30대,7624
2019,1,기장군,40대,8504
2019,1,기장군,50대,6679
2019,1,기장군,60대,5138
2019,1,기장군,70대,2548
2019,1,남구,10대,930
2019,1,남구,20대,2278
2019,1,남구,30대,2305
2019,1,남구,40대,2665
2019,1,남구,50대,2397
2019,1,남구,60대,2197
2019,1,남구,70대,1277
2019,1,동구,10대,351
2019,1,동구,20대,1104
2019,1,동구,30대,1543
2019,1,동구,40대,1734
2019,1,동구,50대,1790
2019,1,동구,60대,1606
2019,1,동구,70대,920
2019,1,동래구,10대,1439
2019,1,동래구,20대,2480
2019,1,동래구,30대,3322
2019,1,동래구,40대,3870
2019,1,동래구,50대,3889
2019,1,동래구,60대,3395
2019,1,동래구,70대,1900
2019,1,부산진구,10대,1072
2019,1,부산진구,20대,3453
2019,1,부산진구,30대,3487
2019,1,부산진구,40대,3352
2019,1,부산진구,50대,3435
2019,1,부산진구,60대,2943
2019,1,부산진구,70대,1666
2019,1,북구,10대,1303
2019,1,북구,20대,2472
2019,1,북구,30대,2967
2019,1,북구,40대,3243
2019,1,북구,50대,4012
2019,1,북구,60대,3133
2019,1,북구,70대,1630
2019,1,사상구,10대,1039
2019,1,사상구,20대,2760
2019,1,사상구,30대,3362
2019,1,사상구,40대,3658
2019,1,사상구,50대,4731
2019,1,사상구,60대,3435
2019,1,사상구,70대,1462
2019,1,사하구,10대,1261
2019,1,사하구,20대,2420
2019,1,사하구,30대,3150
2019,1,사하구,40대,3370
2019,1,사하구,50대,3794
2019,1,사하구,60대,3168
2019,1,사하구,70대,1606
2019,1,서구,10대,367
2019,1,서구,20대,966
2019,1,서구,30대,1208
2019,1,서구,40대,1320
2019,1,서구,50대,1481
2019,1,서구,60대,1426
2019,1,서구,70대,843
2019,1,수영구,10대,1001
2019,1,수영구,20대,2534
2019,1,수영구,30대,3266
2019,1,수영구,40대,3201
2019,1,수영구,50대,3146
2019,1,수영구,60대,2927
2019,1,수영구,70대,1857
2019,1,연제구,10대,953
2019,1,연제구,20대,2046
2019,1,연제구,30대,3074
2019,1,연제구,40대,3306
2019,1,연제구,50대,3223
2019,1,연제구,60대,2740
2019,1,연제구,70대,1583
2019,1,영도구,10대,444
2019,1,영도구,20대,905
2019,1,영도구,30대,1153
2019,1,영도구,40대,1372
2019,1,영도구,50대,1567
2019,1,영도구,60대,1554
2019,1,영도구,70대,958
2019,1,중구,10대,408
2019,1,중구,20대,1451
2019,1,중구,30대,1696
2019,1,중구,40대,1797
2019,1,중구,50대,1871
2019,1,중구,60대,1617
2019,1,중구,70대,904
2019,1,해운대구,10대,1796
2019,1,해운대구,20대,3236
2019,1,해운대구,30대,4318
2019,1,해운대구,40대,5038
2019,1,해운대구,50대,4595
2019,1,해운대구,60대,3543
2019,1,해운대구,70대,2047
2019,2,강서구,10대,1012
2019,2,강서구,20대,2410
2019,2,강서구,30대,5679
2019,2,강서구,40대,5041
2019,2,강서구,50대,4305
2019,2,강서구,60대,2896
2019,2,강서구,70대,1026
2019,2,금정구,10대,870
2019,2,금정구,20대,2177
2019,2,금정구,30대,2077
2019,2,금정구,40대,2325
2019,2,금정구,50대,2600
2019,2,금정구,60대,2235
2019,2,금정구,70대,1247
2019,2,기장군,10대,2671
2019,2,기장군,20대,3518
2019,2,기장군,30대,7345
2019,2,기장군,40대,8251
2019,2,기장군,50대,6386
2019,2,기장군,60대,4955
2019,2,기장군,70대,2511
2019,2,남구,10대,1044
2019,2,남구,20대,2260
2019,2,남구,30대,2397
2019,2,남구,40대,2774
2019,2,남구,50대,2436
2019,2,남구,60대,2247
2019,2,남구,70대,1346
2019,2,동구,10대,411
2019,2,동구,20대,1153
2019,2,동구,30대,1580
2019,2,동구,40대,1775
2019,2,동구,50대,1813
2019,2,동구,60대,1652
2019,2,동구,70대,978
2019,2,동래구,10대,1581
2019,2,동래구,20대,2630
2019,2,동래구,30대,3536
2019,2,동래구,40대,4106
2019,2,동래구,50대,4034
2019,2,동래구,60대,3593
2019,2,동래구,70대,2061
2019,2,부산진구,10대,1257
2019,2,부산진구,20대,3580
2019,2,부산진구,30대,3657
2019,2,부산진구,40대,3561
2019,2,부산진구,50대,3567
2019,2,부산진구,60대,3091
2019,2,부산진구,70대,1812
2019,2,북구,10대,1458
2019,2,북구,20대,2696
2019,2,북구,30대,3251
2019,2,북구,40대,3519
2019,2,북구,50대,4231
2019,2,북구,60대,3344
2019,2,북구,70대,1775
2019,2,사상구,10대,1133
2019,2,사상구,20대,2785
2019,2,사상구,30대,3434
2019,2,사상구,40대,3698
2019,2,사상구,50대,4694
2019,2,사상구,60대,3496
2019,2,사상구,70대,1519
2019,2,사하구,10대,1226
2019,2,사하구,20대,2301
2019,2,사하구,30대,2988
2019,2,사하구,40대,3176
2019,2,사하구,50대,3521
2019,2,사하구,60대,2969
2019,2,사하구,70대,1562
2019,2,서구,10대,419
2019,2,서구,20대,1017
2019,2,서구,30대,1258
2019,2,서구,40대,1392
2019,2,서구,50대,1512
2019,2,서구,60대,1474
2019,2,서구,70대,913
2019,2,수영구,10대,1095
2019,2,수영구,20대,2599
2019,2,수영구,30대,3348
2019,2,수영구,40대,3294
2019,2,수영구,50대,3156
2019,2,수영구,60대,2992
2019,2,수영구,70대,1928
2019,2,연제구,10대,1076
2019,2,연제구,20대,2120
2019,2,연제구,30대,3168
2019,2,연제구,40대,3433
2019,2,연제구,50대,3288
2019,2,연제구,60대,2828
2019,2,연제구,70대,1692
2019,2,영도구,10대,431
2019,2,영도구,20대,829
2019,2,영도구,30대,1125
2019,2,영도구,40대,1360
2019,2,영도구,50대,1477
2019,2,영도구,60대,1436
2019,2,영도구,70대,928
2019,2,중구,10대,505
2019,2,중구,20대,1547
2019,2,중구,30대,1753
2019,2,중구,40대,1856
2019,2,중구,50대,1867
2019,2,중구,60대,1604
2019,2,중구,70대,928
2019,2,해운대구,10대,1915
2019,2,해운대구,20대,3309
2019,2,해운대구,30대,4316
2019,2,해운대구,40대,5041
2019,2,해운대구,50대,4522
2019,2,해운대구,60대,3512
2019,2,해운대구,70대,2079
2019,3,강서구,10대,935
2019,3,강서구,20대,2322
2019,3,강서구,30대,5923
2019,3,강서구,40대,5295
2019,3,강서구,50대,4548
2019,3,강서구,60대,3052
2019,3,강서구,70대,1072
2019,3,금정구,10대,1082
2019,3,금정구,20대,2718
2019,3,금정구,30대,2097
2019,3,금정구,40대,2390
2019,3,금정구,50대,2757
2019,3,금정구,60대,2404
2019,3,금정구,70대,1347
2019,3,기장군,10대,2407
2019,3,기장군,20대,3223
2019,3,기장군,30대,7284
2019,3,기장군,40대,8177
2019,3,기장군,50대,6375
2019,3,기장군,60대,5049
2019,3,기장군,70대,2587
2019,3,남구,10대,1247
2019,3,남구,20대,2722
2019,3,남구,30대,2408
2019,3,남구,40대,2816
2019,3,남구,50대,2494
2019,3,남구,60대,2308
2019,3,남구,70대,1393
2019,3,동구,10대,365
2019,3,동구,20대,1101
2019,3,동구,30대,1553
2019,3,동구,40대,1740
2019,3,동구,50대,1831
2019,3,동구,60대,1689
2019,3,동구,70대,1003
2019,3,동래구,10대,1552
2019,3,동래구,20대,2468
2019,3,동래구,30대,3411
2019,3,동래구,40대,4028
2019,3,동래구,50대,3985
2019,3,동래구,60대,3583
2019,3,동래구,70대,2062
2019,3,부산진구,10대,1369
2019,3,부산진구,20대,3751
2019,3,부산진구,30대,3676
2019,3,부산진구,40대,3600
2019,3,부산진구,50대,3657
2019,3,부산진구,60대,3219
2019,3,부산진구,70대,1911
2019,3,북구,10대,1404
2019,3,북구,20대,2593
2019,3,북구,30대,3124
2019,3,북구,40대,3447
2019,3,북구,50대,4187
2019,3,북구,60대,3347
2019,3,북구,70대,1808
2019,3,사상구,10대,1243
2019,3,사상구,20대,3160
2019,3,사상구,30대,3375
2019,3,사상구,40대,3676
2019,3,사상구,50대,4770
2019,3,사상구,60대,3555
2019,3,사상구,70대,1550
2019,3,사하구,10대,1271
2019,3,사하구,20대,2428
2019,3,사하구,30대,2958
2019,3,사하구,40대,3205
2019,3,사하구,50대,3602
2019,3,사하구,60대,3058
2019,3,사하구,70대,1626
2019,3,서구,10대,434
2019,3,서구,20대,1131
2019,3,서구,30대,1238
2019,3,서구,40대,1354
2019,3,서구,50대,1518
2019,3,서구,60대,1494
2019,3,서구,70대,937
2019,3,수영구,10대,1034
2019,3,수영구,20대,2576
2019,3,수영구,30대,3331
2019,3,수영구,40대,3278
2019,3,수영구,50대,3192
2019,3,수영구,60대,3061
2019,3,수영구,70대,1989
2019,3,연제구,10대,1085
2019,3,연제구,20대,2173
2019,3,연제구,30대,3229
2019,3,연제구,40대,3506
2019,3,연제구,50대,3375
2019,3,연제구,60대,2943
2019,3,연제구,70대,1757
2019,3,영도구,10대,533
2019,3,영도구,20대,1109
2019,3,영도구,30대,1197
2019,3,영도구,40대,1442
2019,3,영도구,50대,1638
2019,3,영도구,60대,1631
2019,3,영도구,70대,1073
2019,3,중구,10대,398
2019,3,중구,20대,1502
2019,3,중구,30대,1717
2019,3,중구,40대,1804
2019,3,중구,50대,1901
2019,3,중구,60대,1666
2019,3,중구,70대,967
2019,3,해운대구,10대,1605
2019,3,해운대구,20대,2872
2019,3,해운대구,30대,3994
2019,3,해운대구,40대,4583
2019,3,해운대구,50대,4161
2019,3,해운대구,60대,3287
2019,3,해운대구,70대,1930
2019,4,강서구,10대,2447
2019,4,강서구,20대,2009
2019,4,강서구,30대,3882
2019,4,강서구,40대,3272
2019,4,강서구,50대,3223
2019,4,강서구,60대,1763
2019,4,강서구,70대,1007
2019,4,금정구,10대,2564
2019,4,금정구,20대,2604
2019,4,금정구,30대,1809
2019,4,금정구,40대,2202
2019,4,금정구,50대,2600
2019,4,금정구,60대,1803
2019,4,금정구,70대,1408
2019,4,기장군,10대,6982
2019,4,기장군,20대,2967
2019,4,기장군,30대,5973
2019,4,기장군,40대,5642
2019,4,기장군,50대,4817
2019,4,기장군,60대,3374
2019,4,기장군,70대,2745
2019,4,남구,10대,2972
2019,4,남구,20대,2514
2019,4,남구,30대,2085
2019,4,남구,40대,2474
2019,4,남구,50대,2497
2019,4,남구,60대,1886
2019,4,남구,70대,1540
2019,4,동구,10대,1014
2019,4,동구,20대,992
2019,4,동구,30대,1220
2019,4,동구,40대,1396
2019,4,동구,50대,1622
2019,4,동구,60대,1271
2019,4,동구,70대,1076
2019,4,동래구,10대,3763
2019,4,동래구,20대,2488
2019,4,동래구,30대,2771
2019,4,동래구,40대,3335
2019,4,동래구,50대,3583
2019,4,동래구,60대,2569
2019,4,동래구,70대,1926
2019,4,부산진구,10대,3236
2019,4,부산진구,20대,3304
2019,4,부산진구,30대,2945
2019,4,부산진구,40대,3025
2019,4,부산진구,50대,3287
2019,4,부산진구,60대,2364
2019,4,부산진구,70대,1932
2019,4,북구,10대,4294
2019,4,북구,20대,2914
2019,4,북구,30대,2784
2019,4,북구,40대,3514
2019,4,북구,50대,3958
2019,4,북구,60대,2368
2019,4,북구,70대,1741
2019,4,사상구,10대,3433
2019,4,사상구,20대,3305
2019,4,사상구,30대,2992
2019,4,사상구,40대,3451
2019,4,사상구,50대,4151
2019,4,사상구,60대,2441
2019,4,사상구,70대,1528
2019,4,사하구,10대,3795
2019,4,사하구,20대,2700
2019,4,사하구,30대,2829
2019,4,사하구,40대,3197
2019,4,사하구,50대,3569
2019,4,사하구,60대,2347
2019,4,사하구,70대,1685
2019,4,서구,10대,1197
2019,4,서구,20대,1100
2019,4,서구,30대,1053
2019,4,서구,40대,1275
2019,4,서구,50대,1514
2019,4,서구,60대,1237
2019,4,서구,70대,1125
2019,4,수영구,10대,2707
2019,4,수영구,20대,2296
2019,4,수영구,30대,2589
2019,4,수영구,40대,2679
2019,4,수영구,50대,2931
2019,4,수영구,60대,2337
2019,4,수영구,70대,1854
2019,4,연제구,10대,3080
2019,4,연제구,20대,2121
2019,4,연제구,30대,2552
2019,4,연제구,40대,2969
2019,4,연제구,50대,3114
2019,4,연제구,60대,2227
2019,4,연제구,70대,1659
2019,4,영도구,10대,1700
2019,4,영도구,20대,1533
2019,4,영도구,30대,1310
2019,4,영도구,40대,1613
2019,4,영도구,50대,1969
2019,4,영도구,60대,1631
2019,4,영도구,70대,1461
2019,4,중구,10대,889
2019,4,중구,20대,1267
2019,4,중구,30대,1346
2019,4,중구,40대,1487
2019,4,중구,50대,1665
2019,4,중구,60대,1282
2019,4,중구,70대,1008
