date,인구_이동량
2020-02-03,3172
2020-02-10,3277
2020-02-17,3045
2020-02-24,2551
2020-03-02,2596
2020-03-09,2773
2020-03-16,2905
2020-03-23,2941
2020-03-30,2985
2020-04-06,2989
2020-04-13,3029
2020-04-20,3179
2020-04-27,3620
2020-05-04,3362
2020-05-11,3308
2020-05-18,3356
2020-05-25,3430
2020-06-01,3399
2020-06-08,3349
2020-06-15,3479
2020-06-22,3470
2020-06-29,3433
2020-07-06,3350
2020-07-13,3455
2020-07-20,3419
2020-07-27,3557
2020-08-03,3462
2020-08-10,3679
2020-08-17,3269
2020-08-24,2916
2020-08-31,2818
2020-09-07,2975
2020-09-14,3276
2020-09-21,3335
2020-09-28,3595
2020-10-05,3360
